,Hurricane Shelter,Special Needs,Pet Friendly,Island,Zip Code,Location 1,latitud,longitud
49,King Intermediate ,S,P ,OAHU,96744.0,"46-155 Kamehameha Highway
Kaneohe, HI
(21.480139957392307, -157.84463761672913)",21.480139957392307, -157.84463761672913
50,Lanikai Elementary ,S ,No,OAHU,96734.0,"140 Alala Road
Kailua, HI
(21.39306597080747, -157.72471374724734)",21.39306597080747, -157.72471374724734
52,Puuhale Elementary ,S ,No,OAHU,96819.0,"345 Puuhale Road
Honolulu, HI
(21.3278741169035, -157.88464018371775)",21.3278741169035, -157.88464018371775
53,Kilauea Neighborhood Center     ,S,No,KAUAI,96754.0,"4260 Keneke Street
Kilauea, HI
(22.21259000032842, -159.40904999975754)",22.21259000032842, -159.40904999975754
54,Leilehua High ,S,P ,OAHU,96786.0,"1515 California Avenue
Wahiawa, HI
(21.502342590587716, -158.01229894577688)",21.502342590587716, -158.01229894577688
55,Kailua Intermediate ,S ,No,OAHU,96734.0,"145 South Kainalu Drive
Kailua, HI
(21.394630791138468, -157.7346242760102)",21.394630791138468, -157.7346242760102
56,Maemae Elementary ,S ,No,OAHU,96817.0,"319 Wyllie Street
Honolulu, HI
(21.32901625588073, -157.84723738051918)",21.32901625588073, -157.84723738051918
57,Kahakai Elementary   ,S,No,HAWAII,96740.0,"76-147 Royal Poinciana Drive
Kailua-Kona, HI
(19.610879967450884, -155.97644631461813)",19.610879967450884, -155.97644631461813
58,Konawaena High   ,S,P ,HAWAII,96750.0,"81-1043 Konawaena School Road
Kealakekua, HI
(19.509319068574825, -155.91552064124363)",19.509319068574825, -155.91552064124363
59,Lanakila Elementary ,S ,No,OAHU,96817.0,"717 North Kuakini Street
Honolulu, HI
(21.32727157114391, -157.859908827912)",21.32727157114391, -157.859908827912
60,E B de Silva Elementary,No,No,HAWAII,96720.0,"278 Ainako Avenue
Hilo, HI
(19.70974197602459, -155.11450350296641)",19.70974197602459, -155.11450350296641
61,Puohala Elementary,No,No,OAHU,96744.0,"45-233 Kulauli Street
Kaneohe, HI
(21.41031103662144, -157.78923025234403)",21.41031103662144, -157.78923025234403
62,Waiakea Waena Elementary   ,S,No,HAWAII,96720.0,"2420 Kilauea Avenue
Hilo, HI
(19.683670630395227, -155.06742399473256)",19.683670630395227, -155.06742399473256
63,Maui Community College,No,No,MAUI,96732.0,"310 West Kaahumanu Avenue
Kahalui, HI
(20.88893388430159, -156.4785750121952)",20.88893388430159, -156.4785750121952
64,Pahoa High and Intermediate   ,S,P ,HAWAII,96778.0,"15-3038 Puna Road
Pahoa, HI
(19.494690000443313, -154.94810000011478)",19.494690000443313, -154.94810000011478
65,Kaumana Elementary   ,S,No,HAWAII,96720.0,"1710 Kaumana Drive
Hilo, HI
(19.686071820213442, -155.13459435710098)",19.686071820213442, -155.13459435710098
66,Wahiawa Middle ,S ,No,OAHU,96786.0,"275 Rose Street
Wahiawa, HI
(21.49503110248952, -158.01785675591796)",21.49503110248952, -158.01785675591796
67,Moanalua Middle ,S,P ,OAHU,96819.0,"1289 Mahiole Street
Honolulu, HI
(21.350249248992498, -157.89257220401618)",21.350249248992498, -157.89257220401618
68,Waialae Elementary ,S ,No,OAHU,96816.0,"1045 19th Avenue
Honolulu, HI
(21.27594726293171, -157.7930981943553)",21.27594726293171, -157.7930981943553
69,Radford High ,S,P ,OAHU,96818.0,"4361 Salt Lake Boulevard
Honolulu, HI
(21.358397106577968, -157.92690831909485)",21.358397106577968, -157.92690831909485
70,Kalaheo High ,S,P ,OAHU,96734.0,"730 Iliaina Street
Kailua, HI
(21.409807507419426, -157.7559510150936)",21.409807507419426, -157.7559510150936
71,Waialua High and Intermediate ,S,P ,OAHU,96791.0,"67-160 Farrington Highway
Waialua, HI
(21.58090649960855, -158.19345663554796)",21.58090649960855, -158.19345663554796
72,Salt Lake Elementary ,S ,No,OAHU,96818.0,"1131 Ala Lilikoi Street
Honolulu, HI
(21.35085576599458, -157.91250401228987)",21.35085576599458, -157.91250401228987
73,Eleele Elementary School   ,S,P ,KAUAI,96705.0,"4750 Uliuli Road
Eleele, HI
(21.909321781727158, -159.5839091580801)",21.909321781727158, -159.5839091580801
74,Pearl Harbor Kai Elementary,No,No,OAHU,96818.0,"1 C Avenue
Honolulu, HI
(21.34844518126789, -157.93730519294323)",21.34844518126789, -157.93730519294323
75,Wilson Elementary ,S ,No,OAHU,96816.0,"4945 Kilauea Avenue
Honolulu, HI
(21.28186618535281, -157.7851016396192)",21.28186618535281, -157.7851016396192
76,Anuenue Elementary,No,No,OAHU,96816.0,"2528 10th Avenue
Honolulu, HI
(21.305407738794372, -157.78868776250812)",21.305407738794372, -157.78868776250812
77,Kaimuki Middle ,S,P ,OAHU,96816.0,"631 18th Avenue
Honolulu, HI
(21.27018260872393, -157.79763077738298)",21.27018260872393, -157.79763077738298
78,Keaau Middle   ,S,P ,HAWAII,96749.0,"16-565 Keaau-Pahoa Road
Kea`au, HI
(19.551520628871533, -154.98350347392125)",19.551520628871533, -154.98350347392125
79,Nuuanu Elementary,No,No,OAHU,96817.0,"3055 Puiwa Lane
Honolulu, HI
(21.336021974488972, -157.83593290261086)",21.336021974488972, -157.83593290261086
80,Kamakahelei Middle     ,No,No,KAUAI,96766.0,"4431 Nuhou Street
Lihue, HI
(21.967480341441206, -159.3876194924496)",21.967480341441206, -159.3876194924496
81,Kawananakoa Middle ,S ,No,OAHU,96813.0,"49 Funchal Street
Honolulu, HI
(21.32005900846889, -157.85112245168574)",21.32005900846889, -157.85112245168574
82,Linapuni Elementary ,S ,No,OAHU,96819.0,"1434 Linapuni Street
Honolulu, HI
(21.33940342531912, -157.87805714646328)",21.33940342531912, -157.87805714646328
83,Mokulele Elementary,No,No,OAHU,96818.0,"250 Aupaka Street
Honolulu, HI
(21.34232463039918, -157.94095602844376)",21.34232463039918, -157.94095602844376
84,Kaunakakai Elementary,No,No,MOLOKAI,96748.0,"30 Ailoa Street
Kaunakakai, HI
(21.088664522020913, -157.01830592604378)",21.088664522020913, -157.01830592604378
85,Aliiolani Elementary ,S ,No,OAHU,96816.0,"1240 7th Avenue
Honolulu, HI
(21.28568692050908, -157.8045285773477)",21.28568692050908, -157.8045285773477
86,Maui Waena Intermediate  ,S,P ,MAUI,96732.0,"795 Onehee Avenue
Kahului, HI
(20.87469675311894, -156.48528611290666)",20.87469675311894, -156.48528611290666
87,Makiki District Park,No,No,OAHU,,"1527 Keeaumoku Street
Honolulu, HI
(21.303673361095036, -157.8373088653157)",21.303673361095036, -157.8373088653157
88,Waimea Canyon Elementary and Middle   ,S,P ,KAUAI,96796.0,"9555 Huakai St
Waimea, HI
(21.960195898937364, -159.67251135732548)",21.960195898937364, -159.67251135732548
89,Manana Elementary ,S ,No,OAHU,96782.0,"1147 Kumano Street
Pearl City, HI
(21.40775189954593, -157.97202730530483)",21.40775189954593, -157.97202730530483
90,Hawaii Convention Center ,S ,No,OAHU,96814.0,"1801 Kalakaua Avenue
Honolulu, HI
(21.29030943573963, -157.83554619413826)",21.29030943573963, -157.83554619413826
91,Solomon Elementary,No,No,OAHU,96786.0,"2875 Waianae Uka Avenue
Wahiawa, HI
(21.497649999847795, -158.0255499999324)",21.497649999847795, -158.0255499999324
92,Stevenson Middle ,S,P ,OAHU,96822.0,"1202 Prospect Street
Honolulu, HI
(21.309921404851192, -157.84120547870322)",21.309921404851192, -157.84120547870322
93,Waimanalo Elementary and Inter. ,S,P ,OAHU,96795.0,"41-1330 Kalanianaole Highway
Waimanalo, HI
(21.34702860279212, -157.71590806024557)",21.34702860279212, -157.71590806024557
94,King Kaumualii Elementary     ,S,No,KAUAI,96766.0,"4380 Hanamaulu Road
Lihue, HI
(21.994913859283628, -159.35120511155063)",21.994913859283628, -159.35120511155063
95,Kauai High   ,S,P ,KAUAI,96766.0,"3577 Lala Road
Lihue, HI
(21.959692808588215, -159.35860201007958)",21.959692808588215, -159.35860201007958
96,Pearl City High ,S,P ,OAHU,96782.0,"2100 Hookiekie Street
Pearl City, HI
(21.413669438498744, -157.9554977664063)",21.413669438498744, -157.9554977664063
98,Pearlridge Elementary ,S ,No,OAHU,96701.0,"98-940 Moanalua Road
Aiea, HI
(21.387481181005512, -157.94459798341117)",21.387481181005512, -157.94459798341117
99,Lahainaluna High,No,No,MAUI,96761.0,"980 Lahainaluna Road
Lahaina, HI
(20.889391675077718, -156.65968264082852)",20.889391675077718, -156.65968264082852
100,Kailua Elementary ,S ,No,OAHU,96734.0,"315 Kuulei Road
Kailua, HI
(21.396078699605653, -157.74100946241825)",21.396078699605653, -157.74100946241825
101,Kahaluu Elementary ,S ,No,OAHU,96744.0,"47-280 Waihee Road
Kaneohe, HI
(21.457610312850363, -157.84647295679426)",21.457610312850363, -157.84647295679426
102,Makalapa Elementary ,S ,No,OAHU,96818.0,"4435 Salt Lake Blvd.
Honolulu, HI
(21.361661645544302, -157.92778965468355)",21.361661645544302, -157.92778965468355
103,Koloa Elementary School     ,S,No,KAUAI,96756.0,"3223 Poipu Road
Koloa, HI
(21.89898857161046, -159.4660979722418)",21.89898857161046, -159.4660979722418
104,Kealakehe Intermediate   ,S,No,HAWAII,96740.0,"74-5062 Onipa'a Street
Kailua-Kona, HI
(19.67118263980798, -155.9849789887266)",19.67118263980798, -155.9849789887266
105,Mililani Middle ,S,P ,OAHU,96789.0,"95-1140 Lehiwa Drive
Mililani, HI
(21.47454829566306, -157.9900529740592)",21.47454829566306, -157.9900529740592
106,Honaunau Elementary,No,No,HAWAII,96704.0,"83-5360 Mamalahoa Highway
Captain Cook, HI
(19.45072823836591, -155.87971863125722)",19.45072823836591, -155.87971863125722
107,Kapolei High ,S ,No,OAHU,96707.0,"91-5007 Kapolei Parkway
Kapolei, HI
(21.32971772706361, -158.07104266073077)",21.32971772706361, -158.07104266073077
108,Nimitz Elementary,No,No,OAHU,96818.0,"520 Main Street
Honolulu, HI
(21.340285272914997, -157.9358516168409)",21.340285272914997, -157.9358516168409
109,Brigham Young Unversity of Hawaii ,S ,No,OAHU,96762.0,"55-220 Kulanui Street
Laie, HI
(21.642733334130146, -157.9251513368679)",21.642733334130146, -157.9251513368679
110,Iliahi Elementary,No,No,OAHU,96786.0,"2035 California Avenue
Wahiawa, HI
(21.50657839734572, -157.99962749838406)",21.50657839734572, -157.99962749838406
111,Kauai War Memorial Convention Hall,No,No,KAUAI,96766.0,"4191 Hardy Street
Lihue, HI
(21.973200625468337, -159.36327848463193)",21.973200625468337, -159.36327848463193
112,Waipahu Elementary ,S,P ,OAHU,96797.0,"94-465 Waipahu Street
Waipahu, HI
(21.385232875932275, -158.01683152880454)",21.385232875932275, -158.01683152880454
113,Kapunahala Elementary,No,No,OAHU,96744.0,"45-828 Anoi Road
Kaneohe, HI
(21.40866920801585, -157.80329650616756)",21.40866920801585, -157.80329650616756
114,Kahuku Elementary,No,No,OAHU,96731.0,"56-170 Pualalea Street
Kahuku, HI
(21.674976447332142, -157.95171162066293)",21.674976447332142, -157.95171162066293
115,Pahoa Elementary   ,S,No,HAWAII,96778.0,"15-3030 Puna Road
Pahoa, HI
(19.494690000443313, -154.94810000011478)",19.494690000443313, -154.94810000011478
116,Momilani Elementary,No,No,OAHU,96782.0,"2130 Ho'okiekie Street
Pearl City, HI
(21.41362447239726, -157.95547078674542)",21.41362447239726, -157.95547078674542
117,Kalihi-Kai Elementary ,S ,No,OAHU,96817.0,"626 McNeill Street
Honolulu, HI
(21.326417215216054, -157.87719379731516)",21.326417215216054, -157.87719379731516
118,Enchanted Lake Elementary ,S ,No,OAHU,96734.0,"770 Keolu Drive
Kailua, HI
(21.38392101053033, -157.73140410857056)",21.38392101053033, -157.73140410857056
119,Farrington High,No,No,OAHU,96817.0,"1564 North King Street
Honolulu, HI
(21.330127620131307, -157.87368439450705)",21.330127620131307, -157.87368439450705
120,Benjamin Parker Elementary,No,No,OAHU,96744.0,"45-259 Waikalua Road
Kaneohe, HI
(21.413489574092864, -157.79909667229074)",21.413489574092864, -157.79909667229074
121,Kahuku High and Intermediate ,S,P ,OAHU,96731.0,"56-490 Kamehameha Highway
Kahuku, HI
(21.69276575157133, -158.01930672956433)",21.69276575157133, -158.01930672956433
122,Kapaa Middle School   ,S,P ,KAUAI,96746.0,"4867 Olohena Road
Kapaa, HI
(22.079317480673573, -159.32777798395654)",22.079317480673573, -159.32777798395654
123,Waiakea Intermediate   ,S,No,HAWAII,96720.0,"200 W. Puainako Street
Hilo, HI
(19.6942626522989, -155.07729576099464)",19.6942626522989, -155.07729576099464
124,Waihee Elementary  ,S,No,MAUI,96793.0,"2125 Kahekili Highway
Wailuku, HI
(20.934249857899204, -156.51319207547584)",20.934249857899204, -156.51319207547584
125,Aina Haina Elementary ,S ,No,OAHU,96821.0,"801 W. Hind Drive
Honolulu, HI
(21.279166835796616, -157.7555694860726)",21.279166835796616, -157.7555694860726
126,Waianae Elementary,No,No,OAHU,96792.0,"85-220 McArthur Street
Waianae, HI
(21.444651082408143, -158.1845371008284)",21.444651082408143, -158.1845371008284
127,Kalakaua Middle ,S,P ,OAHU,96819.0,"821 Kalihi Street
Honolulu, HI
(21.329816652486784, -157.8767261498599)",21.329816652486784, -157.8767261498599
128,Maunawili Elementary ,S ,No,OAHU,96734.0,"1465 Ulupii Street
Kailua, HI
(21.37733049777993, -157.7529680660317)",21.37733049777993, -157.7529680660317
129,Highlands Intermediate ,S,P ,OAHU,96782.0,"1460 Hoolaulea Street
Pearl City, HI
(21.400404438566568, -157.96175704773023)",21.400404438566568, -157.96175704773023
130,August Ahrens Elementary,No,No,OAHU,96797.0,"94-1170 Waipahu Street
Waipahu, HI
(21.393101943688634, -158.0005897729554)",21.393101943688634, -158.0005897729554
131,Kau High and Pahala Elementary   ,S,P ,HAWAII,96777.0,"96-3150 Pikake Street
Pahala, HI
(19.202488378618227, -155.477227057044)",19.202488378618227, -155.477227057044
132,Moanalua Elementary ,S ,No,OAHU,96819.0,"1337 Mahiole Street
Honolulu, HI
(21.349430865945862, -157.89023396674)",21.349430865945862, -157.89023396674
133,Wailuku Elementary  ,S,No,MAUI,96793.0,"355 S. High Street
Wailuku, HI
(20.882799644602926, -156.50508019077154)",20.882799644602926, -156.50508019077154
134,Wheeler Middle ,S,P ,OAHU,96786.0,"2 Wheeler Army Airfield
Wahiawa, HI
(21.497649999847795, -158.0255499999324)",21.497649999847795, -158.0255499999324
135,Kalihi-Waena Elementary ,S ,No,OAHU,96819.0,"1240 Gulick Avenue
Honolulu, HI
(21.33556332025404, -157.87561998376387)",21.33556332025404, -157.87561998376387
136,Kamaile Elementary,No,No,OAHU,96792.0,"85-180 Ala Akau Street
Waianae, HI
(21.456648038279013, -158.19453756179425)",21.456648038279013, -158.19453756179425
137,Kaneohe Elementary,No,No,OAHU,96744.0,"45-495 Kamehameha Highway
Kaneohe, HI
(21.48016961248204, -157.8446417354916)",21.48016961248204, -157.8446417354916
138,McKinley High ,S ,No,OAHU,96814.0,"1039 S. King Street
Honolulu, HI
(21.301029354328932, -157.84748919068736)",21.301029354328932, -157.84748919068736
139,Hanalani Elementary,No,No,OAHU,96789.0,"94-294 Anania Dr.
Mililani, HI
(21.440298363786326, -158.00978983731514)",21.440298363786326, -158.00978983731514
140,Kaahumanu Elementary,No,No,OAHU,96814.0,"1141 Kinau Street
Honolulu, HI
(21.302881957709246, -157.84394586189194)",21.302881957709246, -157.84394586189194
141,Kauai Community College,No,No,KAUAI,96766.0,"3-1901 Kaumualii Highway
Lihue, HI
(21.96706953082613, -159.39542095039258)",21.96706953082613, -159.39542095039258
142,Ahuimanu Elementary ,S ,No,OAHU,96744.0,"47-470 Hui Aeko Place
Kaneohe, HI
(21.435226187541048, -157.8311215297541)",21.435226187541048, -157.8311215297541
143,Kanoelani Elementary,No,No,OAHU,96797.0,"94-1091 Oli Loop
Waipahu, HI
(21.415172729489544, -157.9989003902114)",21.415172729489544, -157.9989003902114
144,Waiakea High   ,S,P ,HAWAII,96720.0,"155 W. Kawili Street
Hilo, HI
(19.700780671477286, -155.07744754747839)",19.700780671477286, -155.07744754747839
145,Pearl City Highlands Elementary ,S ,No,OAHU,96782.0,"1419 Waimano Home Road
Pearl City, HI
(21.40305743855299, -157.96631661041877)",21.40305743855299, -157.96631661041877
146,Jarrett Middle ,S,P ,OAHU,96816.0,"1903 Palolo Avenue
Honolulu, HI
(21.297513005194332, -157.79817037060056)",21.297513005194332, -157.79817037060056
147,Waiau Elementary,No,No,OAHU,96782.0,"98-450 Hookanike Street
Pearl City, HI
(21.39812915383243, -157.95405885115943)",21.39812915383243, -157.95405885115943
149,Roosevelt High ,S,P ,OAHU,96822.0,"1120 Nehoa Street
Honolulu, HI
(21.309716805131927, -157.8374167839592)",21.309716805131927, -157.8374167839592
150,Kaleiopuu Elementary,No,No,OAHU,96797.0,"94-665 Kaaholo Street
Waipahu, HI
(21.39219362843903, -158.0271737321415)",21.39219362843903, -158.0271737321415
151,Shafter Elementary,No,No,OAHU,96819.0,"2 Fort Shafter
Honolulu, HI
(21.34327362975554, -157.88802259027506)",21.34327362975554, -157.88802259027506
152,Kaimuki High ,S,P ,OAHU,96816.0,"2705 Kaimuki Avenue
Honolulu, HI
(21.288258981512854, -157.8163726484736)",21.288258981512854, -157.8163726484736
153,Kapaa High School   ,S,P ,KAUAI,96746.0,"4695 Mailihuna Road
Kapaa, HI
(22.09191113333594, -159.31342906454782)",22.09191113333594, -159.31342906454782
154,Castle High ,S,P ,OAHU,96744.0,"45-386 Kaneohe Bay Drive
Kaneohe, HI
(21.403866828379364, -157.79649763162607)",21.403866828379364, -157.79649763162607
155,Pearl Harbor Elementary,No,No,OAHU,96818.0,"1 Moanalua Ridge
Honolulu, HI
(21.34478654427891, -157.931033645923)",21.34478654427891, -157.931033645923
156,Mililani Waena Elementary ,S ,No,OAHU,96789.0,"95-502 Kipapa Drive
Mililani, HI
(21.455748716249673, -158.00978983731514)",21.455748716249673, -158.00978983731514
157,Palisades Elementary ,S ,No,OAHU,96782.0,"2306 Auhuhu Street
Pearl City, HI
(21.42475807912001, -157.95380704099122)",21.42475807912001, -157.95380704099122
158,Ilima Intermediate ,S,P ,OAHU,96706.0,"91-884 Ft. Weaver Road
Ewa Beach, HI
(21.315409513577436, -158.01207411526957)",21.315409513577436, -158.01207411526957
159,Princess Nahienaena Elementary  ,S,No,MAUI,96761.0,"816 Niheu Street
Lahaina, HI
(20.886335284261694, -156.66349274402177)",20.886335284261694, -156.66349274402177
160,Waimalu Elementary ,S ,No,OAHU,96701.0,"98-825 Moanalua Road
Aiea, HI
(21.39071549931093, -157.94962127636302)",21.39071549931093, -157.94962127636302
161,Kalani High ,S,P ,OAHU,96821.0,"4680 Kalanianaole Highway
Honolulu, HI
(21.37667059819711, -157.74848982136282)",21.37667059819711, -157.74848982136282
162,Lincoln Elementary,No,No,OAHU,96813.0,"615 Auwaiolimu Street
Honolulu, HI
(21.312108662797268, -157.8396470473472)",21.312108662797268, -157.8396470473472
163,Lanakila District Park,No,No,OAHU,96817.0,"1701 Lanakila Ave.
Honolulu, HI
(21.32758633385413, -157.86070023129778)",21.32758633385413, -157.86070023129778
164,Waiahole Elementary ,S ,No,OAHU,96744.0,"48-215 Waiahole Valley Road
Kaneohe, HI
(21.482656431366365, -157.85250740761086)",21.482656431366365, -157.85250740761086
165,Kalaheo Elementary School   ,S,P ,KAUAI,96741.0,"4400 Maka Road
Kalaheo, HI
(21.92286252484712, -159.52195759400058)",21.92286252484712, -159.52195759400058
166,Mililani High ,S,P ,OAHU,96789.0,"95-1200 Meheula Parkway
Mililani, HI
(21.452914108952776, -158.00850159377964)",21.452914108952776, -158.00850159377964
167,Makawao Elementary  ,S,No,MAUI,96768.0,"3542 Baldwin Avenue
Makawao, HI
(20.857411783715804, -156.31279614768692)",20.857411783715804, -156.31279614768692
168,Waimea Elementary   ,S,No,HAWAII,96743.0,"67-1225 Mamalahoa Highway
Kamuela, HI
(20.017977784904698, -155.67198197656705)",20.017977784904698, -155.67198197656705
169,Lehua Elementary ,S ,No,OAHU,96782.0,"791 Lehua Avenue
Pearl City, HI
(21.389261838623554, -157.97223414937156)",21.389261838623554, -157.97223414937156
170,Keonepoko Elementary   ,S,No,HAWAII,96778.0,"15-890 Kahakai Blvd.
Pahoa, HI
(19.5260734379807, -154.92909927340594)",19.5260734379807, -154.92909927340594
171,Honokaa High and Intermediate   ,S,P ,HAWAII,96727.0,"45-527 Pakalana Street
Honokaa, HI
(20.0754962453409, -155.46406997575534)",20.0754962453409, -155.46406997575534
